geneSymbol	proteinName
SMCR7	Q96C03
NAP1L5	Q96NT1
CD19	P15391
C8orf47	Q6P6B1
OR2T8	A6NH00
NR2C2	P49116
GPR4	P46093
ACOT4	Q8N9L9
OLIG3	Q7RTU3
PTRF	Q6NZI2
OR2G3	Q8NGZ4
ARIH2	O95376
RBM44	Q6ZP01
ZBTB33	Q86T24
OR2G2	Q8NGZ5
ZBED2	Q9BTP6
VCX2	Q9H322
IRX3	P78415
ST8SIA3	O43173
RPRM	Q9NS64
OR2B11	Q5JQS5
SLC25A22	Q9H936
RABEP2	Q9H5N1
NHLH2	Q02577
ATOX1	O00244
FAM187B	Q17R55
TBL1XR1	Q9BZK7
SAMD12	Q8N8I0
CD163	Q86VB7
C18orf32	Q8TCD1
LRDD	Q9HB75
ZNF491	Q8N8L2
RPLP2	P05387
GSG2	Q8TF76
JUN	P05412
CSTF2T	Q9H0L4
PGBD5	Q8N414
C12orf54	Q6X4T0
GC,GBA	P04062
ACAD9	Q9H845
IL17RA	Q96F46
PNPLA2	Q96AD5
MBOAT4	Q96T53
C2orf57	Q53QW1
AGTRAP	Q6RW13
CD163L1	Q9NR16
SRRM3	A6NNA2
THAP5	Q7Z6K1
DEFB114	Q30KQ6
EFCAB4A	Q8N4Y2
SUMO4	Q6EEV6
MAGEB10	Q96LZ2
DNAJC28	Q9NX36
OR4F5	Q8NH21
NAALADL2	Q58DX5
CD151	P48509
POLR2L	P62875
FAM20C	Q8IXL6
AMAC1L2	Q96KT7
C5orf39	Q3ZCQ2
KIAA0195	Q12767
FLII	Q13045
SOX12	O15370
SOX15,SOX12	O60248
HNRNPA0	Q13151
YIPF7	Q8N8F6
ZCCHC3	Q9NUD5
MYOZ1	Q9NP98
TMEM78	Q5T7P6
KCNJ10	P78508
CHID1	Q9BWS9
ZNF620	Q6ZNG0
TMEM187	Q14656
CCDC23	Q8N300
ZNF619	Q8N2I2
C12orf68	Q52MB2
AP3S1	Q92572
GRB2	P62993
ZBTB41	Q5SVQ8
UBE2N	P61088
ARL6IP6	Q8N6S5
ZNF354C	Q86Y25
CAPZA3	Q96KX2
MAMDC4	Q6UXC1
CENPBD1	B2RD01
ODF3	Q96PU9
BET1L	Q9NYM9
RPS27	P42677
RIC8A	Q9NPQ8
IGF2BP3,IMP3	O00425
IMP3	Q8TCT8
IMP3	Q9NV31
ASB8	Q9H765
LCN15	Q6UWW0
ODF3B	A8MYP8
DPY19L2	Q6NUT2
C9orf79	Q6ZUB1
C2orf73	Q8N5S3
GPR150	Q8NGU9
TSPYL6	Q8N831
C22orf36	Q2VPJ9
DMAP1	Q9NPF5
ADAMTSL1	Q8N6G6
FAM26E	Q8N5C1
IMPDH2	P12268
ALS2CL	Q60I27
MLF1	P58340
PRSS42	Q7Z5A4
NDUFAF3	Q9BU61
C2orf69	Q8N8R5
GRAMD1C	Q8IYS0
STAP2	Q9UGK3
HTR3C	Q8WXA8
TSSK6	Q9BXA6
BOLA1	Q9Y3E2
PDE4DIP	Q5VU43
DDX10	Q13206
LEKR1	Q6ZMV7
LRRC67	Q7Z4L9
NDUFV2	P19404
DALRD3	Q5D0E6
ZNF114	Q8NC26
ZNF518B	Q9C0D4
FAM123C	Q8N944
SPINK6	Q6UWN8
ZNF366	Q8N895
LCORL	Q8N3X6
PARD6G	Q9BYG4
ZNF454	Q8N9F8
SH2B1	Q9NRF2
ZC3H12D	A2A288
VN1R1	Q9GZP7
KDELC2	Q7Z4H8
PLEC	Q15149
SH2D4B	Q5SQS7
RNF212	Q495C1
PRSS36	Q5K4E3
ZNF543	Q08ER8
TMEM151B	Q8IW70
GALNT11	Q8NCW6
SLITRK1	Q96PX8
C9orf62	Q8N4C0
WDR6	Q9NNW5
PRM3	Q9NNZ6
TNP2	Q05952
SPAG11A	Q6PDA7
GEN1	Q17RS7
TMPRSS9	Q7Z410
AQP11	Q8NBQ7
OR4C13	Q8NGP0
TMEM11	P17152
ZNF354B	Q96LW1
KCNG2	Q9UJ96
SHISA3	A0PJX4
OR2D3	Q8NGH3
CALML3	P27482
CALML5	Q9NZT1
ZFAND2A	Q8N6M9
PLEKHM3	Q6ZWE6
ZNF223	Q9UK11
HTR1A	P08908
C1orf65	Q8N715
C7orf70	Q7Z4H9
DNAJC22	Q8N4W6
NEUROG2	Q9H2A3
BEND3	Q5T5X7
NT5DC1	Q5TFE4
GLDC	P23378
C12orf62	Q96I36
C8orf45	Q4G0Z9
TUBAL3	A6NHL2
P4HTM	Q9NXG6
UCN3	Q969E3
DTX3	Q8N9I9
KLHL11	Q9NVR0
AMBN	Q9NP70
CTXN1	P60606
SLC25A20	O43772
CA8	P35219
CD28	P10747
EPM2AIP1	Q7L775
ERBB4	Q15303
MAF	O75444
CTNNBIP1	Q9NSA3
OR6B3	Q8NGW1
DEFB125	Q8N687
PSAPL1	Q6NUJ1
OTOS	Q8NHW6
GTPBP6	O43824
ERN1	O75460
GPR35	Q9HC97
C10orf53	Q8N6V4
CSRNP3	Q8WYN3
ZNF713	Q8N859
PARP10	Q53GL7
C18orf26	Q8N1N2
SUZ12	Q15022
NSUN3	Q9H649
KCTD12	Q96CX2
DHFRL1	Q86XF0
RPP25	Q9BUL9
GRINA	Q7Z429
THBD	P07204
GP5	P40197
COX5A	P20674
STX19	Q8N4C7
C15orf17	Q5XKK7
ZHX2	Q9Y6X8
CPN2	P22792
CPNE7	Q9UBL6
C5orf46	Q6UWT4
CD300LB	A8K4G0
GDPD4	Q6W3E5
C1orf230	A6NNX1
MPI	P34949
C22orf45	P86434
H1FOO	Q8IZA3
TRIM73	Q86UV7
OPLAH	O14841
TMEM52	Q8NDY8
TMEM139	Q8IV31
RNF186	Q9NXI6
C17orf57	Q8IY85
MSC	O60682
APOLD1	Q96LR9
FAM101A	Q6ZTI6
EXOSC4	Q9NPD3
DPY19L3	Q6ZPD9
TAF7	Q15545
ZNF852	Q6ZMS4
TTF2,FOXE1	O00358
PFAS	O15067
HYI	Q5T013
C17orf62	Q9BQA9
TPRX1	Q8N7U7
ZNF552	Q9H707
GAK	O14976
ZBTB7A	O95365
TUFM	P49411
C1orf173	Q5RHP9
RMI1	Q9H9A7
C17orf68	Q2NKJ3
FBXO34	Q9NWN3
SEPW1	P63302
EIF3K	Q9UBQ5
MRFAP1L1	Q96HT8
SNX18	Q96RF0
EXD1	Q8NHP7
AIM1,AURKB	Q96GD4
TAS1R2	Q8TE23
C14orf39	Q8N1H7
MRFAP1	Q9Y605
C3orf38	Q5JPI3
KLHDC7A	Q5VTJ3
TMEM107	Q6UX40
TTC3	P53804
RRS1	Q15050
EXOC3L	Q86VI1
TRIML2	Q8N7C3
RCC2	Q9P258
OR13D1	Q8NGV5
IGSF22	Q8N9C0
C9orf50	Q5SZB4
ZFP42	Q96MM3
CCDC89	Q8N998
FAM133A	Q8N9E0
DPM3	Q9P2X0
MGA,MGAM	O43451
C12orf42	Q96LP6
CYC1	P08574
PER1	O15534
HTR1F	P30939
TMTC2	Q8N394
HES7	Q9BYE0
FARSA	Q9Y285
SPTY2D1	Q68D10
C10orf67	Q8IYJ2
CYP11B2	P19099
GIMAP7	Q8NHV1
ALOXE3	Q9BYJ1
EDC3	Q96F86
C3orf23	Q8N3R3
FUCA1	P04066
PXT1	Q8NFP0
GGN	Q86UU5
HNRNPCL1	O60812
TMEM125	Q96AQ2
ZNF664	Q8N3J9
C19orf75	Q8N7X8
CALR	P27797
MAGED1	Q9Y5V3
LDLRAD3	Q86YD5
CDH4	P55283
C12orf69	A2RU48
RAD23A	P54725
C2orf71	A6NGG8
GADD45GIP1	Q8TAE8
TMEM151A	Q8N4L1
C17orf96	A6NHQ4
PTPN11	Q06124
NSUN7	Q8NE18
ZCCHC5	Q8N8U3
WSCD1	Q658N2
RAB39	Q14964
RAB34,RAB39	Q9BZG1
CLK3	P49761
HLA-DQB1	P01920
GATA2	P23769
ARID3B	Q8IVW6
TMEM31	Q5JXX7
PACS2	Q86VP3
ELMOD2	Q8IZ81
EGR3	Q06889
C1orf101	Q5SY80
GPC5	P78333
VWA1	Q6PCB0
DNAJB8	Q8NHS0
GEMIN4	P57678
FJX1	Q86VR8
KLHL28	Q9NXS3
MKRN3	Q13064
ZNF238	Q99592
OR9A2	Q8NGT5
C14orf28	Q4W4Y0
ALOX12B	O75342
SLC17A8	Q8NDX2
SHARPIN	Q9H0F6
LBX2	Q6XYB7
DNHD1	Q96M86
SLITRK4	Q8IW52
HTR1D	P28221
GCC1	Q96CN9
C3orf45	Q8N112
RNF151	Q2KHN1
CIITA	P33076
ZFPM1	Q8IX07
ALOX15B	O15296
PLD6	Q8N2A8
GRM8	O00222
CDC42EP4	Q9H3Q1
OR2AP1	Q8NGE2
OR6C4	Q8NGE1
ZBTB42	B2RXF5
C13orf31	Q8IV20
MAF1	Q9H063
TPPP2	P59282
FCER1A	P12319
RPRML	Q8N4K4
ARL14	Q8N4G2
OR6C2	Q9NZP2
KIAA1875	A6NE52
NLRP8	Q86W28
FAM113B	Q96HM7
APOBEC3B	Q9UH17
SYCN	Q0VAF6
PIPOX	Q9P0Z9
FOXS1	O43638
ATOH7	Q8N100
CDH5	P33151
LRRC3B	Q96PB8
C13orf30	Q8N7L0
MRGPRX4	Q96LA9
MYADM	Q96S97
MRGPRX3	Q96LB0
HEATR7A	Q8NDA8
SERTAD2	Q14140
RBM15B	Q8NDT2
C1orf200	Q5SR53
AKAP5	P24588
NKPD1	Q17RQ9
GIPC3	Q8TF64
CITED4	Q96RK1
ABCA13	Q86UQ4
NLRP11	P59045
TIGD5	Q53EQ6
PDXDC1	Q6P996
C1orf194	Q5T5A4
ZNF154	Q13106
R3HDM2	Q9Y2K5
B3GNT3	Q9Y2A9
ITLN1	Q8WWA0
NRXN1	P58400
NRXN1	Q9ULB1
SEPHS2	Q99611
OR10A7	Q8NGE5
GPBAR1	Q8TDU6
ZNF784	Q8NCA9
ZNF648	Q5T619
C14orf119	Q9NWQ9
CCR8	P51685
GOLGA8J	A6NMD2
BBS10	Q8TAM1
FIZ1	Q96SL8
PUF60	Q9UHX1
DCTPP1	Q9H773
ZNF771	Q7L3S4
CRIPAK	Q8N1N5
TSHZ1	Q6ZSZ6
PSTK	Q8IV42
SOCS6,SOCS4	O14544
SOCS7,SOCS4	Q8WXH5
ZADH2	Q8N4Q0
OR1E1	P30953
ZNF48	Q96MX3
FAM71E2	Q8N5Q1
NKX2-6	A6NCS4
TMEM150B	A6NC51
C10orf91	Q5T1B1
ANKRD18A	Q8IVF6
WFDC11	Q8NEX6
TMEM86B	Q8N661
OR3A1	P47881
TRNAU1AP	Q9NX07
EXOC3	O60645
TDRD6	O60522
C12orf40	Q86WS4
CSNK1A1L	Q8N752
LYNX1	P0DP58
TH	P07101
MED14	O60244
FAHD1	Q6P587
C8orf42	Q86YL5
RCC1	P18754
WFDC9	Q8NEX5
MYLPF	Q96A32
F2	P00734
FAM71C	Q8NEG0
RAX,PRKRA	O75569
ZNRF2	Q8NHG8
RRH	O14718
SLC9A4	Q6AI14
ZNF816	Q0VGE8
PRNT	Q86SH4
FGD6	Q6ZV73
GPR144	Q7Z7M1
GPR139	Q6DWJ6
PLD5	Q8N7P1
OAZ2	O95190
WFDC10A	Q9H1F0
PNPLA1	Q8N8W4
ALX1	Q15699
CCDC43	Q96MW1
KCTD4	Q8WVF5
C17orf104	A2RUB1
FZD2	Q14332
TIGD2	Q4W5G0
CCDC129	Q6ZRS4
HCLS1	P14317
C7orf41	Q8N3F0
ZNF609	O15014
PAK2	Q13177
CCDC66	A2RUB6
DEFB124	Q8NES8
KRTAP9-7	A8MTY7
ATP5EP2	Q5VTU8
MCFD2	Q8NI22
HARBI1	Q96MB7
DEFB123	Q8N688
C11orf71	Q6IPW1
CYP8B1	Q9UNU6
OR6K6	Q8NGW6
TPRXL	Q17RH7
C13orf36	A2A2V5
GAS1	P54826
ARHGAP45	Q92619
OR10Q1	Q8NGQ4
ZNF571	Q7Z3V5
GLIPR1L2	Q4G1C9
DEFB119	Q8N690
FAM73A	Q8NAN2
KCNE1	P15382
C10orf108	Q8N8Z3
NRIP1	P48552
ZSCAN4	Q8NAM6
BHLHA15	Q7RTS1
RNF182	Q8N6D2
C9orf139	Q6ZV77
TSPYL5	Q86VY4
FUT7	Q11130
HIST1H2AC	Q93077
C10orf140	Q1XH10
C3orf59	Q8IYB1
GSX2	Q9BZM3
SSTR2	P30874
ZNF594	Q96JF6
PCGF5	Q86SE9
SLC47A2	Q86VL8
PRF1	P14222
OR2A4	O95047
MAB21L1	Q13394
YOD1	Q5VVQ6
TMEM64	Q6YI46
C3orf22	Q8N5N4
OR10K2	Q6IF99
CHRM4	P08173
SHISA2	Q6UWI4
S1PR5	Q9H228
CLRN3	Q8NCR9
GPR157	Q5UAW9
CHST13	Q8NET6
AGTR2	P50052
SLC36A4	Q6YBV0
ZDHHC20	Q5W0Z9
ANKRD30B	Q9BXX2
OR51E1	Q8TCB6
ZFP3	Q96NJ6
ARSJ	Q5FYB0
HOXC9	P31274
MAP3K15	Q6ZN16
PPA1	Q15181
HOXC10	Q9NYD6
PSMG4	Q5JS54
BHLHE22	Q8NFJ8
MAP6D1	Q9H9H5
C19orf34	Q8NCQ2
ZNF443	Q9Y2A4
C1orf180	Q8NAE3
CXCR2	P25025
DEFB112	Q30KQ8
GREM2	Q9H772
C11orf42	Q8N5U0
SSR4	P51571
CADPS2,CAPS2	Q86UW7
CAPS2	Q9BXY5
ZNF792	Q3KQV3
CUEDC1	Q9NWM3
SCRIB	Q14160
KCTD2	Q14681
D2HGDH	Q8N465
OXTR	P30559
FTSJD1	Q8IYT2
OR56B4	Q8NH76
FAM83H	Q6ZRV2
GPR62	Q9BZJ7
OR56A1	Q8NGH5
ZNF572	Q7Z3I7
ST20	Q9HBF5
PITPNB	P48739
TCEAL8	Q8IYN2
OR52E4	Q8NGH9
LRRC57	Q8N9N7
OR52N2	Q8NGI0
MRPL32,MRPL14	Q6P1L8
GPR137C	Q8N3F9
C1orf105	O95561
OR52N1	Q8NH53
BBS12	Q6ZW61
ZFP82	Q8N141
OR52N5	Q8NH56
C17orf47	Q8NEP4
C7orf53	Q8N8F7
NQO1	P15559
OR56B1	Q8NGI3
AEN	Q8WTP8
FKRP	Q9H9S5
TRAPPC5	Q8IUR0
RPH3AL	Q9UNE2
SLC25A42	Q86VD7
FCRL6	Q6DN72
C17orf95	Q86XA0
ANKRD34A	Q69YU3
SLC26A11	Q86WA9
HIGD1A	Q9Y241
CHRM2	P08172
OR52N4	Q8NGI2
MAPK15	Q8TD08
EHMT1	Q9H9B1
ADIPOQ	Q15848
F2R	P25116
ZNF707	Q96C28
MUC16	Q8WXI7
NPM1	P06748
PJA1	Q8NG27
DHTKD1	Q96HY7
PENK	P01210
C4orf50	Q6ZRC1
HIST3H2A	Q7L7L0
ZNF746	Q6NUN9
POLR2A	P24928
TMEM132C	Q8N3T6
SLC25A41	Q8N5S1
TMEM136	Q6ZRR5
OR5AK2	Q8NH90
FRAT2	O75474
TMEM102	Q8N9M5
TMEM132E	Q6IEE7
ZNF322A	Q6U7Q0
TXNDC6	Q86XW9
SPEM1	Q8N4L4
HEPHL1	Q6MZM0
C17orf76	Q8NAA5
OFCC1	Q8IZS5
OR5M8	Q8NGP6
CCL13	Q99616
CCDC108	Q6ZU64
DDX60L	Q5H9U9
C19orf46	Q8N205
C17orf101	Q6PK18
UTS2R	Q9UKP6
AATK	Q6ZMQ8
DDN	O94850
SAGE1	Q9NXZ1
ZNF467	Q7Z7K2
SOX2	P48431
ZNF678	Q5SXM1
TMEM45A	Q9NWC5
RAP2B	P61225
ZBTB2	Q8N680
RNF135	Q8IUD6
NPR3,C5orf23	P17342
OR6T1	Q8NGN1
ACBD4	Q8NC06
OR8D4	Q8NGM9
SGSH	P51688
MAB21L2	Q9Y586
FANCB	Q8NB91
EDDM3B	P56851
SETD2	Q9BYW2
EDDM3A	Q14507
C6orf223	Q8N319
TMIE	Q8NEW7
MEX3D	Q86XN8
OR52D1	Q9H346
MRPS23	Q9Y3D9
OR52H1	Q8NGJ2
C4orf7	Q8NFU4
GPR135	Q8IZ08
SLX1A,SLX1B	Q9BQ83
ANKRD62	A6NC57
P2RY13	Q9BPV8
TNFSF15	O95150
ZFP41	Q8N8Y5
PHLDA2	Q53GA4
GPR88	Q9GZN0
HKR1	P10072
OR8K3	Q8NH51
PLAG1	Q6DJT9
OR8H1	Q8NGG4
OR5T1	Q8NG75
YIPF6	Q96EC8
OR5T2	Q8NGG2
ZBTB20	Q9HC78
OR2Z1	Q8NG97
C3orf58	Q8NDZ4
C5orf30	Q96GV9
OR8K5	Q8NH50
AMIGO1	Q86WK6
OR8H3	Q8N146
OR8H2	Q8N162
GPR3	P46089
C9orf71	Q8N6L7
ODF3L2	Q3SX64
RNASE4	P34096
OR5AS1	Q8N127
ACTL9	Q8TC94
SIAH2	O43255
COPG	Q9Y678
BAI1	O14514
C10orf31	Q8N7Q2
OR6S1	Q8NH40
SLC9A9	Q8IVB4
LSM10	Q969L4
RELL1	Q8IUW5
RFX7	Q2KHR2
SLC35C1	Q96A29
TIGIT	Q495A1
RNF41	Q9H4P4
SLC2A4	P14672
FTMT	Q8N4E7
C1orf69	Q5T440
CLDN7	O95471
ZNF329	Q86UD4
ZNF101	Q8IZC7
OR4C6	Q8NH72
C5orf24	Q7Z6I8
ADO	Q96SZ5
COA4	Q9NYJ1
OR4P4	Q8NGL7
PRKAG1	P54619
OR4C16	Q8NGL9
GINS3	Q9BRX5
OR4C15	Q8NGM1
OR4A15	Q8NGL6
OR4A16	Q8NH70
OR52K2	Q8NGK3
NEUROG1	Q92886
CCDC149	Q6ZUS6
GOLGA8C	A6NN73
MRPS11	P82912
SNRPE	P62304
RTKN2	Q8IZC4
PNMAL1	Q86V59
CHST15	Q7LFX5
ADIG	Q0VDE8
USH1G	Q495M9
MGAT4C	Q9UBM8
IDH2	P48735
OR52A1	Q9UKL2
PTCHD3	Q3KNS1
OR6B2	Q6IFH4
C19orf6	Q4ZIN3
CHD5,WRB	O00258
TNRC18	O15417
FAM181B	A6NEQ2
TMEM30B	Q3MIR4
DEXI	O95424
ZNF716	A6NP11
NOP10	Q9NPE3
FAM89A	Q96GI7
KCNIP1	Q9NZI2
TDRKH	Q9Y2W6
ZNF708	P17019
IST1	P53990
C9orf102	Q5T890
MRPL27,MRPL41	Q8IXM3
ENPP7	Q6UWV6
CREB3L2	Q70SY1
P2RY8	Q86VZ1
UNC5C	O95185
MRGPRG	Q86SM5
TSEN54	Q7Z6J9
RGMA	Q96B86
ASB18	Q6ZVZ8
UBA7	P41226
MRPS16	Q9Y3D3
FAM159A	Q6UWV7
RAD51L1	O15315
CRYGB	P07316
LDOC1	O95751
ARL6IP4	Q66PJ3
EXT1	Q16394
SHMT2	P34897
HHIPL1	Q96JK4
ATP6AP2	O75787
ZAR1	Q86SH2
CYB5D1	Q6P9G0
FAM153B	P0C7A2
BACE2	Q9Y5Z0
UBE2E2	Q96LR5
SYNM	O15061
KCNA4	P22459
GABRG3	Q99928
C22orf26	Q9NV39
NLRP10	Q86W26
FIGN	Q5HY92
IZUMO1	Q8IYV9
TMIGD1	Q6UXZ0
B4GALNT4	Q76KP1
AP1S2	P56377
C8orf33	Q9H7E9
DCAF4L1	Q3SXM0
ZSCAN22	P10073
KCNJ15,KCNJ14	Q99712
KCNJ14	Q9UNX9
FBXL6	Q8N531
C1S	P09871
GLTPD2	A6NH11
PRAMEF8	Q5VWM4
LIPF	P07098
OR5P3	Q8WZ94
DAOA	P59103
ZNF804B	A4D1E1
C17orf77	Q96MU5
KBTBD3	Q8NAB2
C21orf57	P58557
FAM27C,FAM27B,FAM27A	Q5VT28
CLN8	Q9UBY8
PLCXD1	Q9NUJ7
NXPH4	O95158
CACNB4	O00305
IL29	Q8IU54
TRAPPC6B	Q86SZ2
PGBD4	Q96DM1
CDY2B,CDY2A	Q9Y6F7
NPLOC4	Q8TAT6
OTOL1	A6NHN0
KCNK4	Q9NYG8
TEX19	Q8NA77
TSHZ2	Q9NRE2
CAPN12	Q6ZSI9
EXOC7	Q9UPT5
KPNA2	P52292
WASH6P	Q9NQA3
XKRX	Q6PP77
BGN	P21810
ORAI1	Q96D31
CEP97	Q8IW35
LHFPL1	Q86WI0
FES	P07332
GLRX5	Q86SX6
FAM104B	Q5XKR9
TBPL2	Q6SJ96
CAV3	P56539
MXRA7	P84157
LIMK2	P53671
MFSD5	Q6N075
RNASE10	Q5GAN6
ADI1	Q9BV57
RWDD4	Q6NW29
SPNS3	Q6ZMD2
CLEC4G	Q6UXB4
SATB1	Q01826
NXPH3	O95157
CSF1R	P07333
EPHB3	P54753
VCX	Q9H320
C20orf134	Q5JWF8
EPGN	Q6UW88
KRTAP11-1	Q8IUC1
C2orf82	Q6UX34
HS3ST4	Q9Y661
TRAK1	Q9UPV9
HIST1H2AJ	Q99878
TSPAN10	Q9H1Z9
OR2V2	Q96R30
PLCB1	Q9NQ66
SKA2	Q8WVK7
RXFP3	Q9NSD7
CCNYL2	Q5T2Q4
OR10G7	Q8NGN6
NDN	Q99608
C10orf96	P0C7W6
FAM156B,FAM156A	Q8NDB6
OR4Q3	Q8NH05
NTM	Q9P121
KCNB2	Q92953
DYSFIP1	Q86WC6
C16orf79	Q6PL45
GALR2	O43603
RESP18	Q5W5W9
C5orf53	A6NJ69
TSKU	Q8WUA8
ANXA2	P07355
RGS6	P49758
HOXB4	P17483
SLC35D3	Q5M8T2
PAQR7	Q86WK9
PAPPA	Q13219
MAFA	Q8NHW3
KLRG1,MAFA	Q96E93
NGRN	Q9NPE2
GRID1	Q9ULK0
HCAR2	Q8TDS4
OR2T29	Q8NH02
CCDC87	Q9NVE4
GSTA5	Q7RTV2
C1orf116	Q9BW04
MAGEB17	A8MXT2
CRIP2	P52943
DDX28	Q9NUL7
KRTAP13-2	Q52LG2
ACBD3	Q9H3P7
C16orf72	Q14CZ0
PLCXD3	Q63HM9
HBP1,GPIHBP1	Q8IV16
VMO1	Q7Z5L0
OR4F15	Q8NGB8
ALG12	Q9BV10
LCK	P06239
GALNT9	Q9HCQ5
COL18A1	P39060
RBM10	P98175
GPR97	Q86Y34
GLUD2	P49448
TMEM95	Q3KNT9
TCHHL1	Q5QJ38
RPL35A	P18077
RGS7	P49802
SLC25A18	Q9H1K4
ZNF721	Q8TF20
LENG9	Q96B70
C21orf90	P59090
TCEAL7	Q9BRU2
C11orf54	Q9H0W9
CEP63	Q96MT8
WFDC10B	Q8IUB3
SRPR	P08240
OTOP3	Q7RTS5
EWSR1	Q01844
ODF3L1	Q8IXM7
HMGN4	O00479
SPATA13	Q96N96
GJC1	P36383
SOX1	O00570
CNOT10	Q9H9A5
OR4M2	Q8NGB6
MTA1	Q13330
ZNF662	Q6ZS27
CADM1	Q9BY67
ZNF320	A2RRD8
C12orf60	Q5U649
PYCR1	P32322
NAA38,LSMD1	Q9BRA0
SPNS2	Q8IVW8
C19orf59	Q8IX19
AP2A2	O94973
SLC8A1	P32418
OR1G1	P47890
SLC25A21	Q9BQT8
OTOP2	Q7RTS6
CYLC1	P35663
PCP4	P48539
GGTLC3	B5MD39
ABAT	P80404
SLC25A10	Q9UBX3
CAMK1D	Q8IU85
RGPD5,RGPD6	Q99666
LYSMD4	Q5XG99
WBP2NL	Q6ICG8
IGSF5	Q9NSI5
NKX2-5	P52952
AFMID	Q63HM1
GAS6	Q14393
FREM3	P0C091
NEB	P20929
BEGAIN	Q9BUH8
GPC6	Q9Y625
LYPD4	Q6UWN0
ARHGEF37	A1IGU5
FAM43B	Q6ZT52
CSMD1	Q96PZ7
CALHM3	Q86XJ0
OR2T11	Q8NH01
GPR44	Q9Y5Y4
CEP57L1	Q8IYX8
DSCR6	P57055
CYorf17	Q9H606
ANKRD20A2	Q5SQ80
GPR19	Q15760
GJC1,GJD3	Q8N144
RABIF	P47224
TMEM119	Q4V9L6
FANCF	Q9NPI8
CALN1	Q9BXU9
POM121L1P	Q3SYA9
C22orf32	Q9H4I9
GABRR3	A8MPY1
C2CD4C	Q8TF44
CHST6	Q9GZX3
POTEC	B2RU33
RUVBL2	Q9Y230
C15orf58	Q6ZNW5
MICA	Q29983
CTNNA3	Q9UI47
RIMBP3C	A6NJZ7
C21orf67	P58512
OR51B4	Q9Y5P0
PTTG1IP	P53801
DDX41	Q9UJV9
C20orf135	Q9H3Z7
OR52E8	Q6IFG1
CCDC60	Q8IWA6
PLGLB2,PLGLB1	Q02325
DAZAP2	Q15038
CCBE1	Q6UXH8
OR5P2	Q8WZ92
FAM9A	Q8IZU1
CECR6	Q9BXQ6
ZNF623	O75123
OR2T34	Q8NGX1
TUBB	P07437
OR52L1	Q8NGH7
EPHA10	Q5JZY3
SPDYE4	A6NLX3
CCDC125	Q86Z20
C15orf60	Q7Z4M0
BOLA2B,BOLA2	Q9H3K6
BCOR	Q6W2J9
JRKL	Q9Y4A0
C10orf107	Q8IVU9
GBP6	Q6ZN66
KIAA2026	Q5HYC2
OVCH2	Q7RTZ1
TMEM90A	A6NDD5
FHL3	Q13643
OR56A4	Q8NGH8
PMCH	P20382
TMEM89	A2RUT3
C19orf71	A6NCJ1
CCDC159	P0C7I6
RIPK4	P57078
LRIT3	Q3SXY7
NPIP	Q9UND3
SF3A3	Q12874
TFDP3	Q5H9I0
TRIM61	Q5EBN2
GRIN2A	Q12879
PRHOXNB	A6NGE7
SSTR3	P32745
ASB7	Q9H672
SH2D7	A6NKC9
TREX2	Q9BQ50
GPR132	Q9UNW8
MX2	P20592
EP400	Q96L91
MEX3B	Q6ZN04
FAM46C	Q5VWP2
C2orf64	Q86WW8
UTP11L	Q9Y3A2
PSMG1	O95456
C22orf30	Q5THK1
KLRC4	O43908
ACSM5	Q6NUN0
C10orf120	Q5SQS8
FOLR4	A6ND01
SERHL2	Q9H4I8
SERHL2	Q9NQF3
PCBP3	P57721
PGPEP1L	A6NFU8
RNF5	Q99942
SETD3	Q86TU7
TNFAIP8L3	Q5GJ75
ZNRF3	Q9ULT6
FBXL7	Q9UJT9
C22orf25	Q6ICL3
SFXN4	Q6P4A7
GKN2	Q86XP6
TAS2R38	P59533
FAM167B	Q9BTA0
MRPL54	Q6P161
ZNF438	Q7Z4V0
C3orf37	Q96FZ2
CCR3	P51677
DGCR6	Q14129
CXorf64	B1ATL7
TP53TG3	Q9ULZ0
RP1L1	Q8IWN7
KRTAP8-1	Q8IUC2
C15orf32	Q32M92
C11orf88	Q6PI97
ZNF530	Q6P9A1
NDUFB1	O75438
KLHL25	Q9H0H3
FAM19A1	Q7Z5A9
TRMT12	Q53H54
GPR1	P46091
BMP8A	Q7Z5Y6
THOC4	Q86V81
EFHC2	Q5JST6
NOG	Q13253
MRGPRX2	Q96LB1
UPP1	Q16831
OR4N4	Q8N0Y3
IL28A	Q8IZJ0
OPCML	Q14982
TRIM52	Q96A61
LHFP	Q9Y693
CMTM4	Q8IZR5
TMEM50A	O95807
NPBWR1	P48145
FIGLA	Q6QHK4
ASCL2	Q99929
TBK1	Q9UHD2
CBX6	O95503
MACC1	Q6ZN28
ACSM2A	Q08AH3
MRC1,MRC1L1	P22897
TBL3	Q12788
KREMEN1	Q96MU8
TRAIP	Q9BWF2
CDS1,CHEK2	O96017
FOXL2	P58012
AIFM3	Q96NN9
KCTD16	Q68DU8
B3GALT5	Q9Y2C3
ZNF703	Q9H7S9
SLC35F3	Q8IY50
KCTD8	Q6ZWB6
C9orf66	Q5T8R8
TUBA8	Q9NY65
TCEB3C	Q8NG57
MMRN2,EMILIN3	Q9H8L6
EMILIN3	Q9NT22
OLFML1	Q6UWY5
FAM162B	Q5T6X4
RBM12B	Q8IXT5
CCR4	P51679
CCRN4L,CCR4	Q9UK39
CNOT6,CCR4	Q9ULM6
